Product Name,Supplier Name,Price,Delivery Days,Rating,Stock Quantity,Min Order,Email
Laptop HP,شركة الاتصالات,2500.0,3,4.5,850,10,info@generalcomms.com
Monitor Samsung,شركة التقنية للجميع,1500.0,5,4.8,1200,5,support@tech4all.com
Printer Dell,مؤسسة تقني روعة,500.0,7,3.5,340,2,contact@taqniroaa.com
Luxury Desk Organizer,شركة كماليات جنان,450.0,2,4.2,95,20,sales@jananluxury.com
Ergonomic Office Chair,مؤسسة تجهيزاتك هنا,400.0,5,4.5,620,10,orders@kathaequip.com
Golden Fountain Pen,شركة مكتبك الذهبي,300.0,3,4.9,180,5,info@goldenlibrary.com
Premium Olive Oil,توردات الخليجية,1200.0,5,4.7,1450,50,sales@gulfsupplies.com
Organic Honey Box,شركة غذاء الجميع,600.0,7,4.3,780,30,contact@foodforall.com
Basmati Rice 10kg,مؤسسة منتجات,300.0,9,4.0,260,10,info@montajat.com
Mechanical Keyboard,شركة التقنية الحديثة,3800.0,4,4.8,980,5,support@modemtech.com
Wireless Gaming Mouse,توريدات الأمل للتقنية,2000.0,7,4.5,430,10,sales@amaltech.com
Anker Power Bank,مؤسسة سعد للأجهزة,1500.0,14,4.2,150,3,orders@saaddevices.com
Classic Wooden Desk,مؤسسة الرؤية,5200.0,7,4.1,710,1,info@alruya.com
Leather Sofa Set,مؤسسة السلام,7000.0,5,4.2,290,5,contact@alsalam.com
Meeting Room Table,شركة أقلام,3000.0,3,4.5,1750,2,sales@aqlam.com
4K IP Camera Hikvision,مؤسسة الإبداع,1800.0,3,4.6,520,3,info@techcreativity.com
Smart Door Lock,مؤسسة الرقابة,1000.0,9,4.1,85,5,support@raqaba.com
8CH NVR Recorder,شركة راقب للكاميرات,750.0,7,4.7,310,1,sales@raqibcams.com
Silk Fabric Roll,شركة توريدات الهلال,900.0,6,4.0,1340,30,orders@hilalsupply.com
Custom Men Thobe,مؤسسة خياط السعد,600.0,3,4.6,120,15,contact@saadtailor.com
Winter Wool Jacket,شركة حياكة للملابس,300.0,7,4.9,680,10,sales@hekayaiafashion.com
Industrial Detergent,شركة الإتقان,300.0,1,4.4,410,15,info@aletqan.com
Vacuum Cleaner Pro,مؤسسة كلين,1500.0,5,4.6,230,10,support@cleanco.com
Microfiber Towels Pack,شركة بريق,450.0,7,4.0,560,5,contact@bareeq.com
Organic Fertilizer Bag,مؤسسة الراحة الآمنة,1500.0,3,4.3,140,10,info@safecomfort.com
Automatic Water Pump,شركة الطبيعة,1000.0,9,4.5,890,5,contact@naturalco.com
Greenhouse Seeds Kit,توريدات الخضراء,750.0,5,4.8,370,15,sales@greensupply.com
Brembo Brake Pads,شركة التوفير لسيارات,2200.0,2,4.7,75,5,info@savingcars.com
Mobil Engine Oil 1L,توريدات الأوفر,1000.0,5,4.2,1120,10,orders@alwafeer.com
LED Headlight Bulb,مؤسسة الحجاز,1300.0,9,4.9,460,15,contact@alhijaz.com
Oak Wood Planks,شركة الخشب الأصيل,700.0,8,4.3,205,6,sales@originalwood.com
MDF Fiberboard Sheet,مؤسسة خشيبك الأتقن,450.0,5,4.8,640,3,info@khashabak.com
Plywood Waterproof,توريدات أخشاب فهد,600.0,3,4.5,920,9,orders@fahdwood.com
